"id","city","name","geo_hash","latitude","longitude"
"NcCO7CVDE2Fa3NeC35NFbeWYdDi8wlfP","wellington","BP 2go Karori","rbsm0h","-41.2849412488","174.736285599"
"NllCSJbgoQwDYzZONCXtNnJbGPCbTwXh","auckland","Gull Te Irirangi","rckmu1","-36.948834","174.906124"
"No0gyp6f1rPZZlhKrp7HOJKZz8rVJx6q","hamilton","Gull Morrinsville","rckcf1","-37.6542045059","175.52439305"
"NoT5J4o0kO7vkJWQtlpPT3EgvtOGNx4R","christchurch","BP Rangiora","rb69x8e","-43.327273","172.600016"
"Nrr78HyJKiJUExjh0sqaUsFcBhtMxHDK","auckland","Z Botany Downs","rckmuh","-36.9310767905","174.91131651"
"O5mRxVaDlHdKxBhapgfvqJEUAQEWp8R6","christchurch","BP Connect QE II","rb6bd","-43.4953366","172.7104268"
"OF6FCqbPrOBsv0N3FI4ZZZW0GAYpwaa5","auckland","GAS Pinehill","rckr01","-36.729184243651","174.73110856119"
"OH5fNkaDihGaebIhAoVKMDWuNfF4j6ko","auckland","Mobil Don Buck","rcknmnq","-36.8352205815","174.603118868"
"OIaTSKud7u1j5ZpORCcryiNASsqmysfH","wellington","Gull Waione","rbsm7v","-41.23225","174.893105"
"OMwj10GSQCBbucj0tpPcure3xn8HfdDF","auckland","Caltex Mangere","rckmf2","-36.9575592713","174.833451322"
"ORbjGiBb3M0PGcga3SXh05YOXBw5afbW","christchurch","NPD Ferry Rd","rb6b32p","-43.5491393","172.6821377"
"OmBoNkNqCavPDwyLSCucmIdwRkY8praF",,,,"-38.002915727372","175.32754111472"
