id,city,name,geo_hash
kOGAaQqgSAqrkTOL6klhvBwLDU0usrUU,auckland,Z Kingsway,rckmjj1
4V0CrDaZolfZtjRqPQ7jciVqVkc81O7P,auckland,Mobil Grove Road Service Station,rckmjju
g1idkA1SEtZSFkVgnETj5ObgzWDwmf0p,auckland,BP Karaka - opens 6am Wed 9 April,rckke
vJw47fT4HEScwovs5Oe1A6zzRiPXVqnL,christchurch,Z Belfast,rb6bb
O5mRxVaDlHdKxBhapgfvqJEUAQEWp8R6,christchurch,BP Connect QE II,rb6bd
5GoP0g6831PfGlvjPx3GpxopaeX3WZZr,christchurch,Allied Cust,rb69d
F5c40ows0pApAY320TmpD40V7ZaoIzEZ,christchurch,GAS Ohoka,rb69r
Kx77RE0RKtNcTAHf6uBaW2SsEa3cvlxS,christchurch,NPD Mandeville,rb69n
b1j4SJCUu1bcZ78IVvkXNucdwkgLlzPf,christchurch,NPD Sefton,rb6cc
tzGsAwxg5m84oxeRIxH8a6pqxbWjBEJP,christchurch,BP 2go West Melton,rb686
RjyiraTYAvfCAEl5jIiRnAgwQblad0oP,christchurch,BP 2go Redcliffs,rb6b4
kwejMXC1HBFu1gNvMtq6lnfiuku6sncA,christchurch,Allied Rolleston,rb685
rmldihYuEzgzkZUzaSjsg2un7Je7xoGa,christchurch,Challenge Lincoln,rb4xs
